id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_score,away_winner,game_id,season,season_type,home_logo,away_logo,status_type_alt_detail,PBP,game_date_time,game_date,team_box,player_box
400539508,s:40~l:59~e:400539508~c:400539508,2014-06-08T19:30Z,8770,TRUE,FALSE,FALSE,FALSE,2014-06-08T19:30Z,"","",1,STD,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,72,FALSE,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,85,TRUE,400539508,2014,2,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,"",TRUE,2014-06-08T19:30:00Z,2014-06-08,TRUE,TRUE
400539507,s:40~l:59~e:400539507~c:400539507,2014-06-08T19:00Z,8747,TRUE,FALSE,FALSE,FALSE,2014-06-08T19:00Z,"","",1,STD,1830,Madison Square Garden,New York,NY,19763,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,81,TRUE,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,64,FALSE,400539507,2014,2,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,"",TRUE,2014-06-08T19:00:00Z,2014-06-08,TRUE,TRUE
400539506,s:40~l:59~e:400539506~c:400539506,2014-06-08T00:00Z,5808,TRUE,FALSE,FALSE,FALSE,2014-06-08T00:00Z,"","",1,STD,780,AT&T Center,San Antonio,TX,18500,FALSE,0,0,6,3,STATUS_FINAL,post,TRUE,Final,Final/2OT,Final/2OT,4,17,s:40~l:59~t:17,San Antonio,Stars,SA,San Antonio Stars,Stars,000000,c7cfd4,FALSE,780,79,FALSE,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,91,TRUE,400539506,2014,2,"",https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,2OT,TRUE,2014-06-08T00:00:00Z,2014-06-07,TRUE,TRUE
400539504,s:40~l:59~e:400539504~c:400539504,2014-06-07T23:00Z,5458,TRUE,FALSE,FALSE,FALSE,2014-06-07T23:00Z,"","",1,STD,1827,State Farm Arena,Atlanta,GA,16888,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,1827,97,TRUE,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,59,FALSE,400539504,2014,2,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,"",TRUE,2014-06-07T23:00:00Z,2014-06-07,TRUE,TRUE
400539505,s:40~l:59~e:400539505~c:400539505,2014-06-07T23:00Z,5105,TRUE,FALSE,FALSE,FALSE,2014-06-07T23:00Z,"","",1,STD,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,88,TRUE,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,71,FALSE,400539505,2014,2,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,"",TRUE,2014-06-07T23:00:00Z,2014-06-07,TRUE,TRUE
400539503,s:40~l:59~e:400539503~c:400539503,2014-06-07T02:00Z,6836,TRUE,FALSE,FALSE,FALSE,2014-06-07T02:00Z,"","",1,STD,2184,KeyArena,Seattle,WA,17459,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,65,TRUE,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,62,FALSE,400539503,2014,2,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,"",TRUE,2014-06-07T02:00:00Z,2014-06-06,TRUE,TRUE
400539502,s:40~l:59~e:400539502~c:400539502,2014-06-07T00:30Z,6681,TRUE,FALSE,FALSE,FALSE,2014-06-07T00:30Z,"","",1,STD,977,Allstate Arena,Glenview,IL,0,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,88,FALSE,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,102,TRUE,400539502,2014,2,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,"",TRUE,2014-06-07T00:30:00Z,2014-06-06,TRUE,TRUE
400539501,s:40~l:59~e:400539501~c:400539501,2014-06-07T00:00Z,4975,TRUE,FALSE,FALSE,FALSE,2014-06-07T00:00Z,"","",1,STD,1911,BOK Center,Tulsa,OK,0,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Tulsa,Shock,TUL,Tulsa Shock,Shock,11213e,c5d646,FALSE,1911,94,TRUE,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,78,FALSE,400539501,2014,2,"",https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,"",TRUE,2014-06-07T00:00:00Z,2014-06-06,TRUE,TRUE
400539500,s:40~l:59~e:400539500~c:400539500,2014-06-06T23:00Z,7155,TRUE,FALSE,FALSE,FALSE,2014-06-06T23:00Z,"","",1,STD,1823,Capital One Arena,Washington,DC,20362,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,61,FALSE,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,64,TRUE,400539500,2014,2,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,"",TRUE,2014-06-06T23:00:00Z,2014-06-06,TRUE,TRUE
400539498,s:40~l:59~e:400539498~c:400539498,2014-06-05T23:00Z,5014,TRUE,FALSE,FALSE,FALSE,2014-06-05T23:00Z,"","",1,STD,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,66,FALSE,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,74,TRUE,400539498,2014,2,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,"",TRUE,2014-06-05T23:00:00Z,2014-06-05,TRUE,TRUE
