id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_score,away_winner,game_id,season,season_type,away_logo,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_type_alt_detail,PBP,game_date_time,game_date,team_box,player_box
320901011,s:40~l:59~e:320901011~c:320901011,2012-09-02T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2012-09-02T02:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,94,TRUE,17,s:40~l:59~t:17,San Antonio,Silver Stars,SA,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,90,FALSE,320901011,2012,2,"",,"","","",,,"",TRUE,2012-09-02T02:00:00Z,2012-09-01,TRUE,TRUE
320901005,s:40~l:59~e:320901005~c:320901005,2012-09-01T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2012-09-01T23:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,81,TRUE,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,64,FALSE,320901005,2012,2,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,,"","","",,,"",TRUE,2012-09-01T23:00:00Z,2012-09-01,TRUE,TRUE
320901009,s:40~l:59~e:320901009~c:320901009,2012-09-01T20:00Z,0,TRUE,FALSE,FALSE,FALSE,2012-09-01T20:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,79,TRUE,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,73,FALSE,320901009,2012,2,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,,"","","",,,"",TRUE,2012-09-01T20:00:00Z,2012-09-01,TRUE,TRUE
320831008,s:40~l:59~e:320831008~c:320831008,2012-09-01T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2012-09-01T00:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,92,TRUE,3,s:40~l:59~t:3,Tulsa,Shock,TUL,Tulsa Shock,Shock,11213e,c5d646,FALSE,1911,83,FALSE,320831008,2012,2,"",2029,Target Center,Minneapolis,MN,19006,FALSE,"",TRUE,2012-09-01T00:00:00Z,2012-08-31,TRUE,TRUE
320830014,s:40~l:59~e:320830014~c:320830014,2012-08-31T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2012-08-31T02:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,68,FALSE,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,75,TRUE,320830014,2012,2,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,2184,KeyArena,Seattle,WA,17459,TRUE,"",TRUE,2012-08-31T02:00:00Z,2012-08-30,TRUE,TRUE
320830003,s:40~l:59~e:320830003~c:320830003,2012-08-31T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2012-08-31T00:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Tulsa,Shock,TUL,Tulsa Shock,Shock,11213e,c5d646,FALSE,1911,"",99,TRUE,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,85,FALSE,320830003,2012,2,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,,"","","",,,"",TRUE,2012-08-31T00:00:00Z,2012-08-30,TRUE,TRUE
320830017,s:40~l:59~e:320830017~c:320830017,2012-08-31T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2012-08-31T00:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:59~t:17,San Antonio,Silver Stars,SA,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,"",73,FALSE,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,84,TRUE,320830017,2012,2,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,,"","","",,,"",TRUE,2012-08-31T00:00:00Z,2012-08-30,TRUE,TRUE
320830009,s:40~l:59~e:320830009~c:320830009,2012-08-30T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2012-08-30T23:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,63,FALSE,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,76,TRUE,320830009,2012,2,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,,"","","",,,"",TRUE,2012-08-30T23:00:00Z,2012-08-30,TRUE,TRUE
320830020,s:40~l:59~e:320830020~c:320830020,2012-08-30T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2012-08-30T23:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,1827,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,82,TRUE,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,59,FALSE,320830020,2012,2,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,,"","","",,,"",TRUE,2012-08-30T23:00:00Z,2012-08-30,TRUE,TRUE
320828008,s:40~l:59~e:320828008~c:320828008,2012-08-29T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2012-08-29T00:00Z,"","",1,STD,0,0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,96,TRUE,17,s:40~l:59~t:17,San Antonio,Silver Stars,SA,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,84,FALSE,320828008,2012,2,"",2029,Target Center,Minneapolis,MN,19006,FALSE,OT,TRUE,2012-08-29T00:00:00Z,2012-08-28,TRUE,TRUE
