id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_score,away_winner,game_id,season,season_type,home_logo,status_type_alt_detail,game_date_time,game_date,PBP,team_box,player_box
400927456,s:40~l:59~e:400927456~c:400927456,2017-06-18T22:00Z,4551,TRUE,FALSE,FALSE,FALSE,2017-06-18T22:00Z,"","",1,STD,977,Allstate Arena,Glenview,IL,0,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,977,79,FALSE,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,2183,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,91,TRUE,400927456,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,"",2017-06-18T22:00:00Z,2017-06-18,TRUE,TRUE,TRUE
400927455,s:40~l:59~e:400927455~c:400927455,2017-06-18T21:00Z,9916,TRUE,FALSE,FALSE,FALSE,2017-06-18T21:00Z,"","",1,STD,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,90,TRUE,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,59,FALSE,400927455,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,"",2017-06-18T21:00:00Z,2017-06-18,TRUE,TRUE,TRUE
400927454,s:40~l:59~e:400927454~c:400927454,2017-06-18T19:00Z,7285,TRUE,FALSE,FALSE,FALSE,2017-06-18T19:00Z,"","",1,STD,1823,Capital One Arena,Washington,DC,20362,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,83,FALSE,3,s:40~l:59~t:3,Dallas,Wings,DAL,Dallas Wings,Wings,11213e,c5d646,TRUE,3416,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,87,TRUE,400927454,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,"",2017-06-18T19:00:00Z,2017-06-18,TRUE,TRUE,TRUE
400927453,s:40~l:59~e:400927453~c:400927453,2017-06-18T00:00Z,10121,TRUE,FALSE,FALSE,FALSE,2017-06-18T00:00Z,"","",1,STD,1835,Xcel Energy Center,Saint Paul,MN,17954,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,1835,93,FALSE,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,98,TRUE,400927453,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,"",2017-06-18T00:00:00Z,2017-06-17,TRUE,TRUE,TRUE
400927452,s:40~l:59~e:400927452~c:400927452,2017-06-17T02:00Z,10249,TRUE,FALSE,FALSE,FALSE,2017-06-17T02:00Z,"","",1,STD,1949,Footprint Center,Phoenix,AZ,17071,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,86,TRUE,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,977,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,78,FALSE,400927452,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,"",2017-06-17T02:00:00Z,2017-06-16,TRUE,TRUE,TRUE
400927451,s:40~l:59~e:400927451~c:400927451,2017-06-17T00:00Z,3152,TRUE,FALSE,FALSE,FALSE,2017-06-17T00:00Z,"","",1,STD,3416,College Park Center,Arlington,TX,0,TRUE,0,0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,3,s:40~l:59~t:3,Dallas,Wings,DAL,Dallas Wings,Wings,11213e,c5d646,TRUE,3416,93,FALSE,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1830,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,102,TRUE,400927451,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,OT,2017-06-17T00:00:00Z,2017-06-16,TRUE,TRUE,TRUE
400927450,s:40~l:59~e:400927450~c:400927450,2017-06-16T02:30Z,9104,TRUE,FALSE,FALSE,FALSE,2017-06-16T02:30Z,"","",1,STD,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,80,TRUE,17,s:40~l:59~t:17,San Antonio,Stars,SA,San Antonio Stars,Stars,000000,c7cfd4,FALSE,780,"",75,FALSE,400927450,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,"",2017-06-16T02:30:00Z,2017-06-15,TRUE,TRUE,TRUE
400927449,s:40~l:59~e:400927449~c:400927449,2017-06-15T23:00Z,5830,TRUE,FALSE,FALSE,FALSE,2017-06-15T23:00Z,"","",1,STD,2183,Gainbridge Fieldhouse,Indianapolis,IN,17923,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,2183,85,TRUE,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,2206,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,74,FALSE,400927449,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,"",2017-06-15T23:00:00Z,2017-06-15,TRUE,TRUE,TRUE
400927448,s:40~l:59~e:400927448~c:400927448,2017-06-14T23:00Z,4818,TRUE,FALSE,FALSE,FALSE,2017-06-14T23:00Z,"","",1,STD,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,96,TRUE,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1830,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,76,FALSE,400927448,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,"",2017-06-14T23:00:00Z,2017-06-14,TRUE,TRUE,TRUE
400927446,s:40~l:59~e:400927446~c:400927446,2017-06-14T02:00Z,4352,TRUE,FALSE,FALSE,FALSE,2017-06-14T02:00Z,"","",1,STD,2184,KeyArena,Seattle,WA,17459,TRUE,0,0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,86,FALSE,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,2206,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,91,TRUE,400927446,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,OT,2017-06-14T02:00:00Z,2017-06-13,TRUE,TRUE,TRUE
