id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_is_active,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_is_active,away_logo,away_score,away_winner,game_id,season,season_type,away_color,away_alternate_color,away_venue_id,home_color,home_alternate_color,home_venue_id,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_type_alt_detail,game_date_time,game_date,PBP,team_box,player_box
260727016,s:40~l:59~e:260727016~c:260727016,2006-07-27T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-27T23:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,92,TRUE,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,74,FALSE,260727016,2006,2,4f91cd,f1f2f3,1847,e03a3e,09295a,1823,,"","","",,,"",2006-07-27T23:00:00Z,2006-07-27,TRUE,TRUE,TRUE
260726017,s:40~l:59~e:260726017~c:260726017,2006-07-27T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-27T00:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,FALSE,"",67,FALSE,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,81,TRUE,260726017,2006,2,532481,49ac9c,1841,000000,c7cfd4,780,,"","","",,,"",2006-07-27T00:00:00Z,2006-07-26,TRUE,TRUE,TRUE
260726003,s:40~l:59~e:260726003~c:260726003,2006-07-26T23:30Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-26T23:30Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,"",91,TRUE,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,71,FALSE,260726003,2006,2,"","",,11213e,c5d646,1911,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,"",2006-07-26T23:30:00Z,2006-07-26,TRUE,TRUE,TRUE
260725011,s:40~l:59~e:260725011~c:260725011,2006-07-26T01:30Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-26T01:30Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,85,FALSE,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,91,TRUE,260725011,2006,2,05452a,f7c43c,2184,3a267d,e56020,1949,,"","","",,,"",2006-07-26T01:30:00Z,2006-07-25,TRUE,TRUE,TRUE
260725004,s:40~l:59~e:260725004~c:260725004,2006-07-26T00:30Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-26T00:30Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,52,FALSE,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,56,TRUE,260725004,2006,2,532481,49ac9c,1841,"","",,,"","","",,,"",2006-07-26T00:30:00Z,2006-07-25,TRUE,TRUE,TRUE
260725019,s:40~l:59~e:260725019~c:260725019,2006-07-26T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-26T00:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,72,FALSE,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,79,TRUE,260725019,2006,2,0d79b9,89c9bf,1826,4f91cd,f1f2f3,1847,,"","","",,,"",2006-07-26T00:00:00Z,2006-07-25,TRUE,TRUE,TRUE
260725018,s:40~l:59~e:260725018~c:260725018,2006-07-25T23:30Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-25T23:30Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,86,TRUE,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,73,FALSE,260725018,2006,2,e03a3e,09295a,1823,de6b36,002d62,2160,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,"",2006-07-25T23:30:00Z,2006-07-25,TRUE,TRUE,TRUE
260725001,s:40~l:59~e:260725001~c:260725001,2006-07-25T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-25T23:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,62,FALSE,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,70,TRUE,260725001,2006,2,005084,47a757,2029,"","",,,"","","",,,"",2006-07-25T23:00:00Z,2006-07-25,TRUE,TRUE,TRUE
260725005,s:40~l:59~e:260725005~c:260725005,2006-07-25T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-25T23:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,75,TRUE,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,60,FALSE,260725005,2006,2,"","",,e2382f,08265b,,,"","","",,,"",2006-07-25T23:00:00Z,2006-07-25,TRUE,TRUE,TRUE
260724009,s:40~l:59~e:260724009~c:260724009,2006-07-24T23:30Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-24T23:30Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,71,FALSE,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,89,TRUE,260724009,2006,2,de6b36,002d62,2160,0d79b9,89c9bf,1826,1830,Madison Square Garden,New York,NY,19763,FALSE,"",2006-07-24T23:30:00Z,2006-07-24,TRUE,TRUE,TRUE
260723016,s:40~l:59~e:260723016~c:260723016,2006-07-23T22:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-23T22:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,71,FALSE,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,73,TRUE,260723016,2006,2,05452a,f7c43c,2184,e03a3e,09295a,1823,,"","","",,,"",2006-07-23T22:00:00Z,2006-07-23,TRUE,TRUE,TRUE
260722008,s:40~l:59~e:260722008~c:260722008,2006-07-23T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-23T00:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,59,FALSE,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,86,TRUE,260722008,2006,2,"","",,005084,47a757,2029,2029,Target Center,Minneapolis,MN,19006,FALSE,"",2006-07-23T00:00:00Z,2006-07-22,TRUE,TRUE,TRUE
260722017,s:40~l:59~e:260722017~c:260722017,2006-07-23T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-23T00:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,FALSE,"",61,FALSE,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,79,TRUE,260722017,2006,2,de6b36,002d62,2160,000000,c7cfd4,780,,"","","",,,"",2006-07-23T00:00:00Z,2006-07-22,TRUE,TRUE,TRUE
260722003,s:40~l:59~e:260722003~c:260722003,2006-07-22T23:30Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-22T23:30Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,"",89,TRUE,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,70,FALSE,260722003,2006,2,4f91cd,f1f2f3,1847,11213e,c5d646,1911,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,"",2006-07-22T23:30:00Z,2006-07-22,TRUE,TRUE,TRUE
