id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,PBP,game_date_time,game_date,team_box,player_box
290612008,s:40~l:59~e:290612008~c:290612008,2009-06-13T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-13T00:00Z,"","",1,STD,2029,Target Center,Minneapolis,MN,19006,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,71,FALSE,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,88,TRUE,290612008,2009,2,"",TRUE,2009-06-13T00:00:00Z,2009-06-12,TRUE,TRUE
290612005,s:40~l:59~e:290612005~c:290612005,2009-06-12T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-12T23:00Z,"","",1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,73,TRUE,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,61,FALSE,290612005,2009,2,"",TRUE,2009-06-12T23:00:00Z,2009-06-12,TRUE,TRUE
290610011,s:40~l:59~e:290610011~c:290610011,2009-06-11T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-11T02:00Z,"","",1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,91,TRUE,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,84,FALSE,290610011,2009,2,"",TRUE,2009-06-11T02:00:00Z,2009-06-10,TRUE,TRUE
290610008,s:40~l:59~e:290610008~c:290610008,2009-06-11T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-11T00:00Z,"","",1,STD,2029,Target Center,Minneapolis,MN,19006,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,87,TRUE,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,76,FALSE,290610008,2009,2,"",TRUE,2009-06-11T00:00:00Z,2009-06-10,TRUE,TRUE
290610003,s:40~l:59~e:290610003~c:290610003,2009-06-10T23:30Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-10T23:30Z,"","",1,STD,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",69,FALSE,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,75,TRUE,290610003,2009,2,"",TRUE,2009-06-10T23:30:00Z,2009-06-10,TRUE,TRUE
290609005,s:40~l:59~e:290609005~c:290609005,2009-06-09T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-09T23:00Z,"","",1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,73,TRUE,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,66,FALSE,290609005,2009,2,"",TRUE,2009-06-09T23:00:00Z,2009-06-09,TRUE,TRUE
290608003,s:40~l:59~e:290608003~c:290608003,2009-06-08T23:30Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-08T23:30Z,"","",1,STD,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",81,TRUE,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,52,FALSE,290608003,2009,2,"",TRUE,2009-06-08T23:30:00Z,2009-06-08,TRUE,TRUE
290607014,s:40~l:59~e:290607014~c:290607014,2009-06-08T01:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-08T01:00Z,"","",1,STD,2184,KeyArena,Seattle,WA,17459,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,80,TRUE,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,70,FALSE,290607014,2009,2,"",TRUE,2009-06-08T01:00:00Z,2009-06-07,TRUE,TRUE
290607005,s:40~l:59~e:290607005~c:290607005,2009-06-07T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-07T23:00Z,"","",1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,74,FALSE,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,96,TRUE,290607005,2009,2,"",TRUE,2009-06-07T23:00:00Z,2009-06-07,TRUE,TRUE
290607009,s:40~l:59~e:290607009~c:290607009,2009-06-07T20:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-07T20:00Z,"","",1,STD,1830,Madison Square Garden,New York,NY,19763,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,57,FALSE,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,66,TRUE,290607009,2009,2,"",TRUE,2009-06-07T20:00:00Z,2009-06-07,TRUE,TRUE
290607016,s:40~l:59~e:290607016~c:290607016,2009-06-07T20:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-07T20:00Z,"","",1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,77,TRUE,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,1827,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,71,FALSE,290607016,2009,2,"",TRUE,2009-06-07T20:00:00Z,2009-06-07,TRUE,TRUE
290606011,s:40~l:59~e:290606011~c:290606011,2009-06-07T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-07T02:00Z,"","",1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,90,TRUE,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,"",79,FALSE,290606011,2009,2,"",TRUE,2009-06-07T02:00:00Z,2009-06-06,TRUE,TRUE
