id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_is_active,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_score,away_winner,game_id,season,season_type,home_color,home_alternate_color,home_venue_id,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,PBP,game_date_time,game_date,team_box,player_box
230825003,s:40~l:59~e:230825003~c:230825003,2003-08-25T23:30Z,0,TRUE,FALSE,FALSE,FALSE,2003-08-25T23:30Z,"","",1,STD,29,29.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,"",68,TRUE,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,60,FALSE,230825003,2003,2,11213e,c5d646,1911,,"","","",,,TRUE,2003-08-25T23:30:00Z,2003-08-25,TRUE,TRUE
230825002,s:40~l:59~e:230825002~c:230825002,2003-08-25T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-08-25T23:00Z,"","",1,STD,0,0.0,1,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2,s:40~l:59~t:2,Cleveland,Rockers,CLE,Cleveland Rockers,Rockers,TRUE,"",75,TRUE,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,66,FALSE,230825002,2003,2,"","",3417,,"","","",,,TRUE,2003-08-25T23:00:00Z,2003-08-25,TRUE,TRUE
230824001,s:40~l:59~e:230824001~c:230824001,2003-08-24T22:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-08-24T22:00Z,"","",1,STD,0,0.0,3,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,61,TRUE,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,59,FALSE,230824001,2003,2,"","",,,"","","",,,TRUE,2003-08-24T22:00:00Z,2003-08-24,TRUE,TRUE
230823006,s:40~l:59~e:230823006~c:230823006,2003-08-24T02:30Z,0,TRUE,FALSE,FALSE,FALSE,2003-08-24T02:30Z,"","",1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,83,TRUE,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,"",70,FALSE,230823006,2003,2,532481,49ac9c,1841,,"","","",,,TRUE,2003-08-24T02:30:00Z,2003-08-23,TRUE,TRUE
230823013,s:40~l:59~e:230823013~c:230823013,2003-08-24T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-08-24T02:00Z,"","",1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,61,TRUE,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,54,FALSE,230823013,2003,2,"","",,,"","","",,,TRUE,2003-08-24T02:00:00Z,2003-08-23,TRUE,TRUE
230823014,s:40~l:59~e:230823014~c:230823014,2003-08-24T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-08-24T02:00Z,"","",1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,71,TRUE,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,64,FALSE,230823014,2003,2,05452a,f7c43c,2184,,"","","",,,TRUE,2003-08-24T02:00:00Z,2003-08-23,FALSE,FALSE
230823005,s:40~l:59~e:230823005~c:230823005,2003-08-24T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-08-24T00:00Z,"","",1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,59,TRUE,2,s:40~l:59~t:2,Cleveland,Rockers,CLE,Cleveland Rockers,Rockers,"","",TRUE,3417,"",46,FALSE,230823005,2003,2,e2382f,08265b,,,"","","",,,TRUE,2003-08-24T00:00:00Z,2003-08-23,TRUE,TRUE
230823008,s:40~l:59~e:230823008~c:230823008,2003-08-24T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-08-24T00:00Z,"","",1,STD,0,0.0,3,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,77,FALSE,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",86,TRUE,230823008,2003,2,005084,47a757,2029,,"","","",,,TRUE,2003-08-24T00:00:00Z,2003-08-23,TRUE,TRUE
230823016,s:40~l:59~e:230823016~c:230823016,2003-08-23T22:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-08-23T22:00Z,"","",1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,67,FALSE,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,74,TRUE,230823016,2003,2,e03a3e,09295a,1823,,"","","",,,TRUE,2003-08-23T22:00:00Z,2003-08-23,TRUE,TRUE
230822011,s:40~l:59~e:230822011~c:230822011,2003-08-23T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-08-23T02:00Z,"","",1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,89,TRUE,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,"",62,FALSE,230822011,2003,2,3a267d,e56020,1949,,"","","",,,TRUE,2003-08-23T02:00:00Z,2003-08-22,TRUE,TRUE
