season,athlete_id,athlete_display_name,athlete_first_name,athlete_last_name,athlete_position_abbreviation,athlete_jersey,team_id,team_display_name,category,stat_label,stat_name,stat_display_name,stat_description,display_value,value
2021,1008,,,,,,16,Washington Mystics,averages,DR,avgDefensiveRebounds,Defensive Rebounds Per Game,The average defensive rebounds per game.,2.1,2.1
2021,1008,,,,,,16,Washington Mystics,averages,REB,avgRebounds,Rebounds Per Game,The average rebounds per game.,2.6,2.6
2021,1008,,,,,,16,Washington Mystics,averages,AST,avgAssists,Assists Per Game,The average assists per game.,3.5,3.5
2021,1008,,,,,,16,Washington Mystics,averages,STL,avgSteals,Steals Per Game,The average steals per game.,1.0,1.0
2021,1008,,,,,,16,Washington Mystics,averages,BLK,avgBlocks,Blocks Per Game,The average blocks per game.,0.2,0.2
2021,1008,,,,,,16,Washington Mystics,averages,TO,avgTurnovers,Turnovers Per Game,The average turnovers committed per game.,2.0,2.0
2021,1008,,,,,,16,Washington Mystics,averages,FG,avgFieldGoalsMade-avgFieldGoalsAttempted,Field Goals Made-Attempted Per Game,The average field goals made per game.-The average field goals attempted per game.,3.4-9.0,
2021,1008,,,,,,16,Washington Mystics,averages,FG%,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,37.7,37.7
2021,1008,,,,,,16,Washington Mystics,averages,3PT,avgThreePointFieldGoalsMade-avgThreePointFieldGoalsAttempted,3-Point Field Goals Made-Attempted Per Game,The average three point field goals made per game.-The average three point field goals attempted per game.,1.0-2.9,
2021,1008,,,,,,16,Washington Mystics,averages,3P%,threePointFieldGoalPct,3-Point Field Goal Percentage,The ratio of 3pt field goals made to 3pt field goals attempted: 3PM / 3PA.,32.8,32.8
2021,1008,,,,,,16,Washington Mystics,averages,FT,avgFreeThrowsMade-avgFreeThrowsAttempted,Free Throws Made-Attempted Per Game,The average free throw shots made per game.-The average free throw shots attempted per game.,1.3-1.6,
2021,1008,,,,,,16,Washington Mystics,averages,FT%,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,79.7,79.7
2021,1008,,,,,,16,Washington Mystics,averages,PF,avgFouls,Fouls Per Game,The average fouls committed per game.,1.8,1.8
2021,1008,,,,,,16,Washington Mystics,totals,PTS,points,Points,The number of points scored.,3522,3522.0
